49; 292336;Agrócybe firma; (Peck) Sing. (1940);čvrsta njivnica
50; 325927;Agrócybe ombróphila; (Weinm.) Konrad & Maubl. (1949);deževna njivnica
51; 355818;Agrocybe pediades; (Fr.) Fayod (1889);luskobetna njivnica
;sin; Agrocybe semiorbicularis; (Bull.) Fayod 1889;polobla njivnica
52; 356699;Agrócybe praécox;(Pers.) Fayod (1889);rana njivnica
;sin; Agrocybe sphaleromorpha; (Bull.) Fayod 1889; varljiva njivnica
53; 275824;Agrócybe putamínum; (Maire) Singer (1936); kakavnorjava njivnica
54; 439298;Agrócybe vervacti;(Fr.) Singer (1936);pomladna njivnica
55; 362614;Albatrellópsis cónfluens;(Alb. & Schwein.) Teixeira (1993);zraščena mesnatovka
;sin; Albatrellus confluens;(Alb. & Schwein.) Kotl. & Pouzar 1957;zraščeni mesnatovec
56; 489380; Albatréllus citrínus; Ryman (2003);citronasti mesnatovec
57; 292351; Albatrellus ovínus; (Schaff.) Kotl. & Pouzar (1957);ovčji mesnatovec
58; 308435; Albatréllus subrubéscens; (Murrill) Pouzar (1972); rumeneči mesnatovec
59; 122113; Albugo cándida; (Pers. ex J.F. Gmel.) Roussel, Fl. Calvados (1806); bela kapusnica
60; 308446; Albotrícha acutipila; (P. Karst.) Raitv. (1970); belkasta kocinka
61; 473871; Aléuria aurántia; (Pers.) Fuckel (1870); oranžna latvica
62; 174635; Aléuria bicuculláta; Boud. (1881); drobna latvica
63; 120817; Aléuria luteónitens; (Berk. & Broome) Gillet (1886); žarnorumena latvica
64; 132844; Aléuria spléndens; (Quel.) Gillet (1886); čudovita latvica
65; 150793; Aleurodíscus amórphus; (Pers.) J. Schrót. (1888); jelkov kolutec
66; 439663; Aleurodiscus disciformis; (DC.) Pat. (1894); diskasti kolutec
67; 501370; Alloclavária purpurea; (O.F. Mull.) Dentinger & D.J. McLaughlin (2007); škrlatna črvičevka
;sin; Clavaria purpurea; O.F. Mull. (1780);škrlatna kijevka
68; 355860; Alnícola alnetórum; (Maire) Romagn. (1931); jelševa močvirka
69; 586459; Alnicola umbrina; (R. Maire) Kuhner (1931); temnorjava močvirka
70; 367845; Amanita abiétum; E.-J. Gilbert (1929); jelova mušnica
;sin; Amanita pantherina var. abietum; (E.-J. Gilbert) Vesely (1933);panterjeva mušnica, jelkin različek
71; 292442; Amanita argentea; Huijsman (1959); srebrni lupinar
72; 103034; Amanita battárrae; (Boud.) Bon (1985); dvobarvni lupinar
73; 282978; Amanita béckeri; Huijsman (1962); Beckerjev lupinar
74; 208468; Amanita caesarea; (Scop.) Pers. (1801); knežja mušnica
75; 107714; Amanita ceciliae; (Berk. & Broome) Bas (1984); pozlačeni lupinar
76; 205574; Amanita citrina; (Schaff.) Pers. (1797); citronasta mušnica
;sin; Amanita citrina f. alba; (Pers.) Quél. (1892);citronasta mušnica, bela oblika
77; 126044; Amanita contui; Bon & Courtec. (1989); rumeneči lupinar
78; 115109; Amanita crócea; (Quél.) Singer (1951); oranžni lupinar
79; 211344; Amanita echinocéphala; (Vittad.) Quél. (1872); ostrokrpa mušnica
80; 211392; Amanita eliae; Quél. (1872); Elijeva mušnica
81; 546507; Amanita excélsa; (Fr.) Bertill. (1866); podaljšana mušnica
;sin; Amanita excelsa var. spissa; (Fr.) Neville & Poumarat (2004);podaljšana mušnica, čokati različek
;sin; Amanita spissa var. cariosa; (Fr.) Vesely (1933);čokata mušnica, votlobetni različek
;sin; Amanita spissa var. excelsa; (Fr.) Dórfelt & I.L. Roth (1982);čokata mušnica, podaljšani različek
82; 355836; Amanita franchétii; (Boud.) Fayod (1889); hrapava mušnica
83; 308552; Amaniíta friábilis; (P. Karst.) Bas (1974); jelšin lupinar
84; 212682; Amanita fulva; Fr. (1815); rjavi lupinar
85; 359399; Amanita fusco-olivácea; (Kuhner ex Contu) Romagn. (1992); olivnorjavi lupinar
86; 202929; Amanita gemmata; (Fr.) Bertill. (1866); medlorumena mušnica
87; 110467; Amanita gracilior; Bas & Honrubia (1982); koničastoluska mušnica
88; 155691; Amanita lepiotoides; Barla (1886); dežnikasta mušnica
89; 114489; Amanita lividopallescens; (Gillet) Bigeart & H. Guill. (1913); bledični lupinar
90; 308569; Amanita magnivolvata; Aalto (1974); rjavolupinasti lupinar
91; 284061; Amanita mairei; Foley (1949); srebrnkasti lupinar
92; 161267; Amanita muscaria; (L.) Lam. (1783); rdeča mušnica
;sin; Amanita muscaria f. aureola; (Kalchbr.) J.E. Lange (1915);rdeča mušnica, ogoljeni različek
93; 177200; Amanita nivalis; Grev. (1822); snežni lupinar
94; 156329; Amanita ovoidea; (Bull.) Link (1833); jajčasta mušnica
95; 105913; Amanita pachyvolvata; (Bon) Krieglst. (1984); belolupinasti lupinar
96; 156565; Amanita pantherina; (DC.) Krombh. (1846); panterjeva mušnica
97; 178962; Amanita phalloides; (Vaill. ex Fr.) Link (1833); zelena mušnica
;sin; Amanita phalloides var. alba; Costantin & L.M. Dufour (1895);zelena mušnica, beli različek
98; 171128; Amanita porphyria; Alb. & Schwein. (1805); porfirasta mušnica
99; 172017; Amaníta próxima; Dumée (1916); stepanska mušnica
100; 454253; Amanita regalis; (Fr.) Michael (1904); rjava mušnica
101; 172799; Amanita rubescens; Pers. (1797); rdečkasta mušnica
;sin; Amanita rubescens var. annulosulfurea; Gillet (1874);rdečkasta mušnica, žoltovenčni različek
102; 529907; Amanita símulans; Contu (1999); sivorjavi lupinar
103; 153038; Amanita strobiliformis; (Paulet ex Vittad.) Bertill. (1866); velikoluska mušnica
104; 102833; Amanita subalpína; M.M. Moser (1978); gorski lupinar
105; 308592; Amanita submembranacea; (Bon) Groger (1979); sivolupinasti lupinar
106; 114685; Amanita vaginata; (Bull.) Fr. (1783); sivi lupinar
;sin; Amanita vaginata f. alba; (Sacc.) Romagn. (1992);sivi lupinar, bela oblika
;sin; Amanita vaginata var. flavescens; (E.-J. Gilbert) E.-J. Gilb. & S. Lundell (1941);sivi lupinar, rumeneči različek
107; 163667; Amanita vérna; (Bull.) Lam. (1783); pomladanska mušnica
108; 163692; Amanita virosa; (Fr.) Bertill. (1866); koničasta mušnica
109; 819257; Amaropostia stiptica; (Pers.) B.K. Cui, L.L. Shen & Y.C. Dai (2019); trpki skutnikovec
;sin; Oligoporus stipticus; (Pers.) Gilb. & Ryvarden (1987);trpki skutovec
;sin; Postia stiptica; (Pers.) Julich (1982);trpki skutovec
110; 173376; Amaurochaéte átra; (Alb. & Schwein.) Rostaf. (1875); črni prašilec
111; 292495; Amphinema byssoides; (Pers.) J. Erikss. (1958); okrasti predivovec
;sin; Clitocybe clavipes; (Pers.) P. Kumm. (1871);betičasta livka
111; 517674; Amylocystis lappónica; (Romell) Bondartsev & Singer (1944); smrekov skutnik
112; 519381; Amylopória sinuósa; (Fr.) Rajchenb., Gorjón & Pildain (2011); zvegani sinjepor
113; 292521; Amylostéreum areolatum; (Chaillet ex Fr.) Boidin (1958); smrekov slojevec
114; 292522; Amylostéreum chaillétii; (Pers.) Boidin (1958); jelkov slojevec
115; 292523; Amylostéreum laevigatum; (Fr.) Boidin (1958); brinov slojevec
116; 102511; Anthracóbia melalóma; (Alb. & Schwein.) Arnould (1893); črnorobi oglarček
117; 326334; Antródia albida; (Fr.) Donk (1966); belkasta trhlica
118; 105049; Antródia alpina; (Litsch.) Gilb. & Ryvarden (1985); gorska trhlica
119; 326336; Antródia heteromórpha; (Fr.) Donk (1966); raznolična trhlica
120; 326340; Antródia ramentácea; (Berk. & Broome) Donk (1966); skorjina trhlica
121; 129786; Antrodiéla parasitica; Vampolla (1991); zajedalska trhlička
122; 109603; Antrodiéla romellii; (Donk) Niemelä (1982); priležna trhlička
123; 116141; Antrodiéla semisupina; (Berk. & M. A. Curtis) Ryvarden (1980); slojevita trhlička
124; 500771; Antrodiélla sérpula; (P. Karst.) Spirin & Niemelä (2006); bukovinska trhlička
;sin; Androdiella hoehnelii; (Bres.) Niemelä (1972);bukova trhlička 
125; 819914; Apiopérdon pyrifórme; (Scháff.) Vizzini, Vizzini & Ercole (2017); hruškasta prašničarka
;sin; Lycoperdon pyriforme; Schuff. (1774);hruškasta prašnica
126; 207885; Arcyria affinis; Rostaf. (1875); navadna kelihovka
127; 174952; Arcyria cinérea; (Bull.) Pers. (1801); pepelasta kelihovka
128; 120316; Arcyria denudáta; (L.) Wettst. (1886); rdeča kelihovka
129; 162394; Arcyria incarnáta; (Pers. Ex J.F. Gmel.) Pers. (1796); rožnata kelihovka
130; 245049; Arcyria nutans; (Bull.) Grev. (1824); rjavorumena kelihovka
131; 184737; Arcyria stipáta; (Schwein.) Lister (1894); dolgopecljata kelihovka
132; 110479; Armillária boreális; Marxm. & Korhonen (1982); severnjaška mraznica
133; 260244; Armillaria cepistipes; Velen. (1920); čebulasta mraznica
134; 131162; Armillária gállica; Marxm. & Romagn. (1987); rumenovenčna mraznica
135; 190066; Armillaria méllea; (Vahl) P. Kumm. (1871); sivorumena mraznica
136; 134992; Armillária ostóyae; (Romagn.) Herink (1973); črnomekinasta mraznica
137; 107614; Arrhénia acerósa; (Fr.) Kuhner (1980); kolobarčasti jezičar
138; 374149; Arrhénia epichysium; (Pers.) Redhead, Lutzoni, Moncalvo & Vilgalys (2002); lesni jezičar
;sin; Omphalina epichysium; (Pers.) Quél. (1886);lesna popkarica
139; 374153; Arrhénia obátra; (]. Favre) Redhead, Lutzoni, Moncalvo & Vilgalys (2002); dimasti jezičar
;sin; Omphalina obatra; (J. Favre) P.D. Orton (1960);dimasta popkarica
140; 530139; Arrhenia polycephala; (Bres.) E. Ludw. (2001); večglavi jezičar
141; 106611; Arrhénia spathuláta; (Fr.) Redhead (1984); mahov jezičar
142; 110490; Artómyces pyxidátus; (Pers.) Julich (1982); cvetoča grmulja
143; 145251; Ascobolus carbonarius; P. Karst. (1870); pogoriščni trosostrelec
144; 245730; Ascóbolus micháudii; Boud. (1907); Michaudev trosostrelec
145; 283367; Ascocoryne cylichnium; (Tul.) Korf (1971); vijoličasta želatinka
146; 326593; Ascocóryne sarcoídes; (Jacq.) J.W. Groves & D.E. Wilson (1967); mesnata želatinka
147; 264593; Ascotremélla faginea; (Peck) Seaver (1930); bukova žoličevka
148; 292869; Aspropaxillus candidus; (Bres.) M. M. Moser (1953); beli velepodvihanec
;sin; Leucopaxillus candidus; (Bres.) Singer 1939; bela velepodvihanka
149; 265972; Aspropaxillus gigantaus; (Sowerby) Kuhner & Maire (1934); orjaški velepodvihanec
150; 233153; Asterophora lycoperdoides; (Bull.) Ditmar (1809); navadni zajedalec
;sin; Nyctalis agaricoides; (Fr.) Bon & Courtec. (1989);navadna zajedalka
151; 293497; Asterophora parasitica; (Bull.) Singer (1951); zastrti zajedalec
;sin; Nyctalis parasitica; (Bull.) Fr. (1838);zastrta zajedalka
152; 122650; Astraéus hygrometricus; (Pers.) Morgan (1889); vlagomerni zvezdež
153; 293533; Astrosphaeriélla applanáta; (Fr.) Scheinpflug (1958); sploščeni oblozvezdar
154; 226995; Athélia epiphylla; Pers. (1818); kožasta prevlekarica
155; 560457; Atheliachaete sanguinea; (Fr.) Spirin & Zmitr. (2011); krvaveča brezbradavičarka
;sin; Phanerochaete sanguinea; (Fr.) Pouzar (1973);rdečeča mrenovka
156; 550102; Atheniella adonis; (Bull.) Redh., Moncalvo, Vilgalys, Desjard & B. A. Perry (2012);ljubka travnica
;sin; Mycena adonis; (Bull.) Gray (1821)
157; 550106; Atheniella flavoalba; (Fr.) Redh., Moncalvo, Vilgalys, Desjard & B. A. Perry (2012); voskasta travnica
;sin; Mycena flavoalba; (Fr.) Quél. (1872);voskasta čeladica
158; 809954; Atractosporocybe inornata; (Sowerby) P. Alvarado, G. Moreno & Vizzini (2015); neokrašeni lijaček
;sin; Clitocybe inornata; (Sowerby) Gillet (1874);neokrašena livka
