URL;LatinName;SlovenianName;FullName;Uzitnost
https://www.gobe.si/Gobe/AgaricusFuscofibrillosus;Agaricus fuscofibrillosus;rjavovlaknati kukmak;Agáricus fúscofibrillósus (F.H. Møller) Pilát (1951);užitna
https://www.gobe.si/Gobe/AgaricusAbruptibulbus;Agaricus abruptibulbus;odsekanodniščni kukmak;Agáricus abruptibúlbus Peck (1905);užitna
https://www.gobe.si/Gobe/RussulaAzurea;Russula azurea;sinja golobica;Rússula azúrea Bres. (1882);užitna
https://www.gobe.si/Gobe/CortinariusCollinitoparvus;Cortinarius collinitoparvus;sluzovenčna koprenka;Cortinárius collinítopárvus Rob. Henry (1963);užitna
https://www.gobe.si/Gobe/HygrophorusDichrous;Hygrophorus dichrous;gabrovinska polževka;Hygróphorus díchrous Kühner & Romagn. (1953);užitna
https://www.gobe.si/Gobe/CantharellusSubcibarius;Cantharellus subcibarius;bleda lisička;Cantharéllus súbcibarius Corner (1966);užitna
https://www.gobe.si/Gobe/HygrophorusFuscoalbus;Hygrophorus fuscoalbus;rjavobela polževka;Hygróphorus fuscoálbus Fr. (1838);užitna
https://www.gobe.si/Gobe/HygrophorusPurpurascens;Hygrophorus purpurascens;koprenasta polževka;Hygróphorus purpuráscens (Alb. & Schwein.) Fr. (1838);užitna
https://www.gobe.si/Gobe/RussulaFont-queri;Russula font-queri;žleboroba golobica;Rússula fónt-quéri Singer (1947);užitna
https://www.gobe.si/Gobe/OtideaCochleata;Otidea cochleata;polžasto uho;Otídea cochleáta (Huds.) Fuckel (1870);užitna
https://www.gobe.si/Gobe/PleurotusFlabellatus;Pleurotus flabellatus;rdeči ostrigar;Pleurótus flabellátus (Berk. & Broome) Sacc. (1887);užitna
https://www.gobe.si/Gobe/RussulaSericatula;Russula sericatula;gabrinska golobica;Rússula sericátula Romagn. (1958);užitna
https://www.gobe.si/Gobe/RussulaVinosobrunnea;Russula vinosobrunnea;vinskorjava golobica;Rússula vinósobrúnnea (Bres.) Romagn. (1967);užitna
https://www.gobe.si/Gobe/HygrophorusGliocyclus;Hygrophorus gliocyclus;sluzovenčna polževka;Hygróphorus gliocýclus Fr. (1861);užitna
https://www.gobe.si/Gobe/AtractosporocybeInornata;Atractosporocybe inornata;neokrašeni lijaček;Atractosporócybe inornáta (Sowerby) P. Alvarado, G. Moreno & Vizzini (2015);užitna
https://www.gobe.si/Gobe/LeccinumMolle;Leccinum molle;mehki ded;Leccínum mólle (Bon) Bon (1989);užitna
https://www.gobe.si/Gobe/CortinariusRoseolimbatus;Cortinarius roseolimbatus;rožastoroba koprenka;Cortinárius róseolimbátus Secr. ex Quél. (1888);užitna
https://www.gobe.si/Gobe/PseudoclitocybeExpallens;Pseudoclitocybe expallens;zbledela palivka;Pseudoclitócybe expállens (Pers.) M.M. Moser (1967);užitna
https://www.gobe.si/Gobe/RussulaAurantiaca;Russula aurantiaca;oranžna golobica;Rússula aurantíaca (Schäff.) Romagn. (1967);užitna
https://www.gobe.si/Gobe/EntolomaMadidum;Entoloma madidum;modrinasta rdečelistka;Entolóma madídum Gillet (1876);užitna
https://www.gobe.si/Gobe/AgaricusDulcidulus;Agaricus dulcidulus;osladni kukmak;Agáricus dulcídulus Schulzer (1874);užitna
https://www.gobe.si/Gobe/SuillusAmericanus;Suillus americanus;sibirska lupljivka;Suíllus americánus (Peck) Snell (1944);užitna
https://www.gobe.si/Gobe/RhodocollybiaFodiens;Rhodocollybia fodiens;žlebasta korenarka;Rhodocollýbia fódiens (Kalchbr.) Antonín & Noordel. (1997);užitna
https://www.gobe.si/Gobe/SuillusPlorans;Suillus plorans;cemprinova lupljivka;Suíllus plórans (Rolland) Kuntze (1898);užitna
https://www.gobe.si/Gobe/RussulaRoseipes;Russula roseipes;rožnobetna golobica;Rússula roséipes Secr. ex Bres. (1883);užitna
https://www.gobe.si/Gobe/LeucoagaricusCarneifolius;Leucoagaricus carneifolius;grbičasti kukmakovec;Leucoagáricus carneifólius (Gillet) Wasser (1977);užitna
https://www.gobe.si/Gobe/RussulaMelzeri;Russula melzeri;Melzerjeva golobica;Rússula mélzeri Zvára (1927);užitna
https://www.gobe.si/Gobe/HygrophorusMesotephrus;Hygrophorus mesotephrus;obuta polževka;Hygrophorus mesótephrus Berk. (1854);užitna
https://www.gobe.si/Protozoa/TrichiaBotrytis;Trichia botrytis;škrlatna zlatenka;Tríchia botrýtis (Pers. ex J.F. Gmel.) Pers. (1794);neužitna
https://www.gobe.si/Gobe/CortinariusRubicundulus;Cortinarius rubicundulus;rdečeča koprenka;Cortinárius rubicúndulus (Rea) A. Pearson (1946);strupena
https://www.gobe.si/Gobe/CeriporiaPurpurea;Ceriporia purpurea;škrlatni jamičar;Ceripória purpúrea (Fr.) Donk (1971);neužitna
https://www.gobe.si/Gobe/PorotheleumFimbriatum;Porotheleum fimbriatum;resasti pajčevinopor;Porothéleum fimbriátum (Pers.) Fr. (1818);neužitna
https://www.gobe.si/Gobe/EntolomaPlacidum;;;Entoloma placidum (Fr.) Noordel. (1981);neužitna
https://www.gobe.si/Gobe/LyophyllumInfumatum;Lyophyllum infumatum;okajeni zajček;Lyophyllum infumatum (Bres.) Kühner (1938);
https://www.gobe.si/Gobe/ConocybeSemiglobata;;;Conocybe semiglobata Kühner & Watling (1980);
https://www.gobe.si/Gobe/OssicaulisLignatilis;Ossicaulis lignatilis;lesna livača;Ossicaulis lignatilis (Pers.) Redhead & Ginns (1985);neužitna
https://www.gobe.si/Gobe/MelanoleucaResplendens;Melanoleuca resplendens;dvobarvna gostolistka;Melanoléuca respléndens (Fr.) Murrill (1914);neužitna
https://www.gobe.si/Gobe/InocybePusio;Inocybe pusio;porisana razcepljenka;Inócybe púsio P. Karst. (1889);strupena
https://www.gobe.si/Gobe/MorchellaGigas;Morchella gigas;veliki smrček;Morchélla gígas (Batsch) Pers. (1801);neužitna
