 1.     ABORTÍPORUS                                                        POLLUKNJIČARJI
  308. Cortinárius cumátilis Fr. (1838)                                     sinja koprenka                                  U
  309. Cortinárius cumátilis var. robústum (M.M. Moser) Quadr. (1985)       sinja koprenka, čokati različek                 U
  310. Cortinárius cyáneus (Bres.) M.M. Moser (1967)                        modrovijoličasta koprenka                       U
  311. Cortinárius cyanítes Fr. (1838)                                      pordela koprenka                              NU
  312. Cortinárius damascénus Fr. (1838)                                    kopučasta koprenka                            NU
  313. Cortinárius deceptívus Kauffman (1907)                               zavedljiva koprenka                           NU
  314. Cortinárius decípiens (Pers.) Fr. (1838)                             goljufiva koprenka                            NU
  315. Cortinárius decípiens var. átrocaerúleus (M.M. Moser ex M.M. Moser) H. Lindstr. (1998)
                                                                          goljufiva koprenka, temnogrbi različek NU, 494, 732
  316. Cortinárius delibútus Fr. (1838)                                 modrolistna koprenka                                U
  317. Cortinárius díbaphus Fr. (1838)                                  pisana koprenka                                   NU
  318. Cortinárius dionýsae Rob. Henry (1933)                           praznična koprenka                                NU
  319. Cortinárius divulgátus Britzelm. (1885)                          polstenoroba koprenka                             NU
  320. Cortinárius ebúrneus (Velen.) Rob. Henry ex Bon (1985)           bela koprenka                                     NU
  321. Cortinárius elegántior (Fr.) Fr. (1838)                          izbrana koprenka                                    U
  322. Cortinárius elegantíssimus Rob. Henry (1989)                     zala koprenka                                     UN
  323. Cortinárius emollítus Fr. (1838)                                 votličasta koprenka                               UN
  324. Cortinárius epipóleus Fr. (1838)                                 ilnatolistna koprenka                             NU
  325. Cortinárius erýthrinus (Fr.) Fr. (1838)                          rožnobetna koprenka                               NU
  326. Cortinárius evérnius (Fr.) Fr. (1838)                            hribovska koprenka                                NU
  327. Cortinárius fléxipes (Pers.) Fr. (1838)                          krivobetna koprenka                               NU
  328. Cortinárius fraudulósus Britzelm. (1885)                         varljiva koprenka                                 NU
  329. Cortinárius fulmíneus (Fr.) Fr. (1838)                           bliskova koprenka                                 UN
  330. Cortinárius fúlvoincarnátus Joachim (1936)                       mesnorjava koprenka                               UN
  331. Cortinárius gentílis (Fr.) Fr. (1838)                            grenkokožna koprenka                                S
  332. Cortinárius gláucopus (Schaeff.) Fr. (1838)                      kolobarniška koprenka                               U
  333. Cortinárius gláucopus var. acyáneus (M.M. Moser) Nezdojm. (1983) kolobarniška koprenka, belobetni različek           U
  334. Cortinárius gláucopus var. oliváceus (M.M. Moser) Quadr. (1985)  kolobarniška koprenka, olivnozeleni različek        U
  335. Cortinárius gracílior Jul. Schäff. (1947)                        nežna koprenka                                    UN
  336. Cortinárius guttátus Rob. Henry (1952)                           cvetlična koprenka                                UN
  337. Cortinárius hélvolus (Bull.) Fr. (1838)                          štulasta koprenka                                 NU
  338. Cortinárius herbárum Rob. Henry (1952)                           travna koprenka                                     U
  339. Cortinárius hinnúleus Fr. (1838)                                 jelenčja koprenka                                 NU



Mikološka zveza Slovenije                OPERATIVNI SEZNAM GLIV SLOVENIJE 2013                                            16
  340. Cortinárius hinnuloídes Rob. Henry (1941)                             jasminova koprenka                              NU
  341. Cortinárius holopháeus J.E. Lange (1935)                              vretenasta koprenka                        NU, 2718
  342. Cortinárius humícola (Quél.) Maire (1911)                             kosmičasta koprenka                             NU
  343. Cortinárius imbútus var. vílior (P. Karst.) P. Karst. (1883)          prežeta koprenka, malovredni različek       NU, 787
  344. Cortinárius incísus (Pers.) Fr. (1838)                                razcepljena koprenka                            NU
  345. Cortinárius infráctus (Pers.) Fr. (1838)                              scefrana koprenka                                 S
  346. Cortinárius infráctus f. olivéllus (M.M. Moser) (1952)                scefrana koprenka, stopničasta oblika             S
  347. Cortinárius infráctus var. obscúrocyáneus (Secr. ex J. Schröt.) G. Garnier (1991)
                                                                            scefrana koprenka, višnjevobetni različek         S
  348. Cortinárius jubarínus Fr. (1838)                                    zvišana koprenka                                S
  349. Cortinárius lániger Fr. (1838)                                      volnata koprenka                               NU
  350. Cortinárius lárgus Fr. (1838)                                       zajetna koprenka                                U
  351. Cortinárius leucophánes P. Karst. (1881)                            bledična koprenka                              UN
  352. Cortinárius léucopus (Bull.) Fr. (1838)                             neznačilna koprenka                            NU
  353. Cortinárius lilacínopes Britzelm. (1859)                            lilastobetna koprenka                          NU
  354. Cortinárius limónius (Fr.) Fr. (1838)                               citronastorumena koprenka                       S
  355. Cortinárius lívidoochráceus (Berk.) Berk. (1860)                    nažlebkana koprenka                        U, 575
  356. Cortinárius lívidovioláceus (Rob. Henry ex M.M. Moser) M.M. Moser (1967) bledovijoličasta koprenka                 UN
  357. Cortinárius lundéllii (M.M. Moser) M.M. Moser (1967)                lundellova koprenka                             U
  358. Cortinárius mácropus (Fr.) Fr. (1838)                               dolgobetna koprenka                     NU, 2905
  359. Cortinárius mágicus Eichhorn (1967)                                 čarovniška koprenka                            UN
  360. Cortinárius maláchius (Fr.) Fr. (1838)                              malahitasta koprenka                           NU
  361. Cortinárius malicórius Fr. (1838)                                   ožarjena koprenka                              NU
  362. Cortinárius melanótus Kalchbr. (1874)                               peteršiljeva koprenka                          NU
  363. Cortinárius mucífluus Fr. (1838)                                    slinasta koprenka                               U
  364. Cortinárius mucósus (Bull.) Cooke (1867)                            sluzava koprenka                                U
  365. Cortinárius multifórmis (Fr.) Fr. (1838)                            raznolična koprenka                             U
  366. Cortinárius multifórmis var. coniferárum (M.M. Moser) Nezdojm. (1983) raznolična koprenka, smrekin različek         U
  367. Cortinárius multívagus Britzelm. (1891)                             nestanovitna koprenka                          NU
  368. Cortinárius muricínus Fr. (1838)                                    ogabna koprenka                                NU
  369. Cortinárius mussívus (Fr.) Melot (1987)                             smrdljiva koprenka                       NU, 719
  370. Cortinárius nanceiénsis Maire (1911)                                dekliška koprenka                              NU
  371. Cortinárius nápus Fr. (1838)                                        sivolistna koprenka                             U
  372. Cortinárius nemorénsis (Fr.) J.E. Lange (1940)                      hostna koprenka                                 U
  373. Cortinárius nítidus (Schaeff.) Fr. (1838)                           oslinjena koprenka                             UN
  374. Cortinárius obtúsus (Fr.) Fr. (1838)                                zaobljena koprenka                             NU
  375. Cortinárius ochroléucus (Schaeff.) Fr. (1838)                       gorjupa koprenka                               NU
  376. Cortinárius odorátus (M.M. Moser) M.M. Moser (1967)                 vonjavna koprenka                              NU
  377. Cortinárius odórifer Britzelm. (1885)                               janeževa koprenka                               U
  378. Cortinárius ólidus J.E. Lange (1935)                                travnodišeča koprenka                          NU
  379. Cortinárius oliváceofúscus Kühner (1955)                            gabrova koprenka                               NU
  380. Cortinárius olivascéntium Rob. Henry (1952)                         olivnorumena koprenka                          NU
  381. Cortinárius olivéllus Rob. Henry (1952)                             olivnookrasta koprenka                         NU
  382. Cortinárius opímus Fr. (1838)                                       obilna koprenka                                NU
  383. Cortinárius orellánus Fr. (1838)                                    poljska koprenka                               SS
  384. Cortinárius orichálceus (Batsch) Fr. (1838)                         bakrenordeča koprenka                          NU
  385. Cortinárius páchypus M.M. Moser (1968)                              tolsta koprenka                                NU
  386. Cortinárius paleáceus (Weinm.) Fr. (1838)                           pelargonijina koprenka                         NU
  387. Cortinárius panglóius M.M. Moser (1969)                             spolzka koprenka                               NU
  388. Cortinárius papulósus Fr. (1838)                                    bradavičasta koprenka                          NU
  389. Cortinárius percómis Fr. (1838)                                     majaronova koprenka                             U
  390. Cortinárius phaeophýllus P. Karst. (1881)                           grmičasta koprenka                             NU
  391. Cortinárius pholídeus (Fr.) Fr. (1838)                              luskata koprenka                               NU
  392. Cortinárius plátypus (M.M. Moser) M.M. Moser (1967)                 ploskobetna koprenka                           UN
  393. Cortinárius plúmiger Fr. (1887)                                     puhasta koprenka                               NU
  394. Cortinárius pluviális Kühner (1989)                                 pelinova koprenka                              NU
  395. Cortinárius porphýropus (Alb. & Schwein.) Fr. (1838)                lepobetna koprenka                             UN
  396. Cortinárius práestans (Cordier) Gillet (1876)                       nagubana koprenka                        U, Z, RS
  397. Cortinárius prásinus (Schaeff.) Fr. (1838)                          zelenkasta koprenka                             U
  398. Cortinárius privignoídes Rob. Henry (1985)                          debelobetna koprenka                           UN
  399. Cortinárius privígnus (Fr.) Fr. (1838)                              zapognjena koprenka                     NU, 2722
  400. Cortinárius pseudosálor J.E. Lange (1935)                           lepljiva koprenka                               U
  401. Cortinárius púmilus (Fr.) J.E. Lange (1940)                         pritlikava koprenka                            UN



Mikološka zveza Slovenije                 OPERATIVNI SEZNAM GLIV SLOVENIJE 2013                                              17
  402. Cortinárius purpuráscens (Fr.) Fr. (1838)                              škrlateča koprenka                              U
  403. Cortinárius purpuráscens f. genuínus Rob. Henry (1976)                 škrlateča koprenka, izvirna oblika              U
  404. Cortinárius purpuráscens f. lívidus M.M. Moser (1952)                  škrlateča koprenka, modrozelena oblika          U
  405. Cortinárius purpúreus (Bull.) Bidaud, Moënne-Locc. & Reumaux (1994) bagrena koprenka                             NU, 681
  406. Cortinárius rapáceus Fr. (1838)                                        slonovinasta koprenka                         UN
  407. Cortinárius renídens Fr. (1838)                                        poletna koprenka                              NU
  408. Cortinárius rígens (Pers.) Fr. (1838)                                  korenasta koprenka                            NU
  409. Cortinárius rígidus (Scop.) Fr. (1838)                                 toga koprenka                                 NU
  410. Cortinárius rubéllus Cooke (1887)                                      najlepša koprenka                              SS
  411. Cortinárius rubicúndulus (Rea) A. Pearson (1946)                       rdečeča koprenka                                S
  412. Cortinárius rúfo-oliváceus (Pers.) Fr. (1838)                          vrščajeva koprenka                              U
  413. Cortinárius safránopes Rob. Henry (1938)                               žafranastobetna koprenka                      NU
  414. Cortinárius sálor Fr. (1838)                                           mastna koprenka                                 U
  415. Cortinárius sanguíneus (Wulfen) Fr. (1838)                             krvena koprenka                               NU
  416. Cortinárius saniósus (Fr.) Fr. (1838)                                  kalužna koprenka                              NU
  417. Cortinárius saporátus Britzelm. (1897)                                 svitkasta koprenka                        U, 2911
  418. Cortinárius saturátus J.E. Lange (1935)                                šopasta koprenka                              NU
  419. Cortinárius saturnínus (Fr.) Fr. (1838)                                svetloroba koprenka                           NU
  420. Cortinárius scáurus (Fr.) Fr. (1838)                                   kruljasta koprenka                            NU
  421. Cortinárius scáurus var. herpéticus (Fr.) Quél. (1886)                 kruljasta koprenka, marogasti različek    NU, 608
  422. Cortinárius scutulátus (Fr.) Fr. (1838)                                ščitasta koprenka                             NU
  423. Cortinárius sebáceus Fr. (1838)                                        lojasta koprenka                                U
  424. Cortinárius semisanguíneus (Fr.) Gillet (1874)                         polkrvena koprenka                            NU
  425. Cortinárius simulátus P.D. Orton (1958)                                spremenljiva koprenka                         NU
  426. Cortinárius sodagnítus Rob. Henry (1935)                               lužninska koprenka                            UN
  427. Cortinárius sordéscens Rob. Henry (1944)                               umazana koprenka                              NU
  428. Cortinárius sphagnógenus (M.M. Moser) Nezdojm. (1976)                  šotna koprenka                                NU
  429. Cortinárius spilómeus (Fr.) Fr. (1863)                                 bakrenopikasta koprenka                       NU
  430. Cortinárius spléndens Rob. Henry (1939)                                sijajna koprenka                               SS
  431. Cortinárius stillatítius Fr. (1838)                                    medova koprenka                                 U
  432. Cortinárius strenúipes Rob. Henry (1956)                               krepkobetna koprenka                     NU, 2725
  433. Cortinárius subbalteátus Kühner (1955)                                 macesnova koprenka                              U
  434. Cortinárius subelegántior Rob. Henry (1987)                            grudičasta koprenka                           UN
  435. Cortinárius subtórtus (Pers.) Fr. (1838)                               zasukana koprenka                             NU
  436. Cortinárius subválidus Rob. Henry (1958)                               pegasta koprenka                                U
  437. Cortinárius subvioláscens Rob. Henry ex Nezdojm. (1983)                obročna koprenka                              NU
  438. Cortinárius suíllus Fr. (1838)                                         svinjska koprenka                             NU
  439. Cortinárius tálus Fr. (1838)                                           gležnjasta koprenka                             U
  440. Cortinárius terpsichóres Melot (1989)                                  modra koprenka                                UN
  441. Cortinárius tophaceoídes M.M. Moser (1983)                             lehnjakasta koprenka                            S
  442. Cortinárius topháceus Fr. (1838)                                       lehnjakova koprenka                             S
  443. Cortinárius tórvus (Fr.) Fr. (1838)                                    polzastrta koprenka                           NU
  444. Cortinárius tráganus (Fr.) Fr. (1838)                                  lilasta koprenka                                S
  445. Cortinárius tráganus var. finítimus (Weinm.) Rea (1922)                lilasta koprenka, nižinski različek             S
  446. Cortinárius trifórmis Fr. (1838)                                       vlažnoroba koprenka                           UN
  447. Cortinárius triúmphans Fr. (1838)                                      okrašena koprenka                               U
  448. Cortinárius triviális J.E. Lange (1940)                                navadna koprenka                                U
  449. Cortinárius tubárius Ammirati & A.H. Sm. (1972)                        barjanska koprenka                        NU, 736
  450. Cortinárius túrgidus Fr. (1838)                                        nabuhla koprenka                         NU, 2727
  451. Cortinárius turmális Fr. (1838)                                        gručasta koprenka                               U
  452. Cortinárius uráceus Fr. (1838)                                         osmojena koprenka                             NU
  453. Cortinárius variegátus Bres. (1884)                                    večbarvna koprenka                              U
  454. Cortinárius variícolor (Pers.) Fr. (1838)                              raznobarvna koprenka                       U, 775
  455. Cortinárius variícolor var. largiúsculus (Britzelm.) M.M. Moser (1967) raznobarvna koprenka, oblotrosni različek U, 776
  456. Cortinárius variícolor var. marginátus (M.M. Moser) Quadr. (1985)      raznobarvna koprenka, stopničasti različek U, 777
  457. Cortinárius várius (Schaeff.) Fr. (1838)                               šarasta koprenka                                U
  458. Cortinárius vénetus (Fr.) Fr. (1838)                                   beneška koprenka                              NU
  459. Cortinárius vénetus var. montánus M.M. Moser (1970)                    beneška koprenka, gorski različek             NU
  460. Cortinárius veregrégius Rob. Henry (1938)                              privlačna koprenka                            NU
  461. Cortinárius vibrátilis (Fr.) Fr. (1838)                                žolčasta koprenka                             NU
  462. Cortinárius violáceus (L.) Gray (1821)                                 vijoličasta koprenka                            U
  463. Cortinárius violáceus subsp. harcýnicus (Pers.) Brandrud (1994)        vijoličasta koprenka, jelova podvrsta           U
  464. Cortinárius volvátus A.H. Sm. (1939)                                   ovita koprenka                                UN



Mikološka zveza Slovenije                 OPERATIVNI SEZNAM GLIV SLOVENIJE 2013                                             18
  465. Cortinárius vulpínus (Velen.) Rob. Henry (1947)                lisičja koprenka              NU
  466. Cortinárius xánthochlórus Rob. Henry (1966)                    rumenozelena koprenka         NU
  467. Cortinárius xánthophýllus (Cooke) Rob. Henry (1943)            rumenolistna koprenka         NU

67.   CORÝNE                                                      žELATINARJI
  468. Corýne atróvirens (Pers.) Sacc. (1889)                         zeleni želatinar         NU, 1535

68.   COTYLÍDIA                                                   PAROžICE
  469. Cotylídia pannósa (Sowerby) D.A. Reid (1965)                   šopasta parožica              NU

69.   CRATERÉLLUS                                                 TROBENTE
  470. Crateréllus córnucopioídes (L.) Pers. (1825)                   črna trobenta                   U
  471. Crateréllus lutéscens (Fr.) Fr. (1838)                         žolta trobenta             U, 282
  472. Crateréllus tubaefórmis (Fr.) Quél. (1888)                     lijasta trobenta           U, 281

70.   CREPIDÓTUS                                                  POSTRANČICE
  473. Crepidótus applanátus (Pers.) P. Kumm. (1871)                  sploščena postrančica         NU
  474. Crepidótus cesátii (Rabenh.) Sacc. (1877)                      cesatijeva postrančica        NU
  475. Crepidótus móllis (Schaeff.) Staude (1857)                     zdrizasta postrančica         NU
  476. Crepidótus variábilis (Pers.) P. Kumm. (1871)                  raznolična postrančica        NU

71.   CRUCÍBULUM                                                  LONČKI
  477. Crucíbulum láeve (Huds.) Kambly (1936)                         navadni lonček                NU

72.   CÝATHUS                                                     KOŠKI
  478. Cýathus ólla (Batsch) Pers. (1801)                             gladki košek                  NU
  479. Cýathus stercóreus (Schwein.) De Toni (1888)                   govnov košek                  NU
  480. Cýathus striátus (Huds.) Willd. (1787)                         črtkani košek                 NU

73.   CYLINDROBASÍDIUM                                            SKORJEVCI
  481. Cylindrobasídium evólvens (Fr.) Jülich (1974)                  ploski skorjevec              NU

74.   CYSTODÉRMA                                                  ZRNOVKE
  482. Cystodérma amiánthinum (Scop.) Fayod (1889)                    rjava zrnovka                   U
  483. Cystodérma carchárias (Pers.) Fayod (1889)                     gorska zrnovka                NU
  484. Cystodérma cinnabárinum (Alb. & Schwein.) Fayod (1889)         cinobrasta zrnovka         U, 850
  485. Cystodérma fállax A.H. Sm. & Singer (1945)                     varljiva zrnovka              NU
  486. Cystodérma granulósum (Batsch) Fayod (1889)                    hrapava zrnovka               NU
  487. Cystodérma supérbum Huijsman (1956)                            krasna zrnovka                NU

75.   CYSTODERMÉLLA                                               ZRNOVCI
  488. Cystodermélla ambrósii (Bres.) Harmaja (2002)                  ambrožev zrnovec           U, 844

76.   CYSTOLEPIÓTA                                                PRAHOGLAVKE
  489. Cystolepióta adulterína (F.H. Møller) Bon (1976)               varljiva prahoglavka          NU
  490. Cystolepióta sistráta (Fr.) Singer ex Bon & Bellù (1985)       golobetna prahoglavka         NU

77.   DACRÝMYCES                                                  SOLZOVKE
  491. Dacrýmyces chrysospérmus Berk. & M.A. Curtis (1873)            pahljačasta solzovka          NU
  492. Dacrýmyces stillátus Nees (1816)                               kapljasta solzovka            NU

78.   DAEDÁLEA                                                    LABIRINTNICE
  493. Daedálea quercína (L.) Pers. (1801)                            hrastova labirintnica         NU

79.   DAEDALEÓPSIS                                                ZVITOCEVKE
  494. Daedaleópsis confragósa (Bolton) J. Schröt. (1888)             rdečeča zvitocevka            NU
  495. Daedaleópsis trícolor (Bull.) Bondartsev & Singer (1941)       tribarvna zvitocevka          NU




Mikološka zveza Slovenije                  OPERATIVNI SEZNAM GLIV SLOVENIJE 2013                    19
80.   DALDÍNIA                                                     OGLARKE
  496. Daldínia concéntrica (Bolton) Ces. & De Not. (1863)              slojevita oglarka                              NU

81.   DATRÓNIA                                                     ZVITOPORI
  497. Datrónia mólis (Sommerf.) Donk (1966)                            navadni zvitopor                               NU

82.   DELICÁTULA                                                   BELKE
  498. Delicátula integrélla (Pers.) Fayod (1889)                       navadna belka                                  NU

83.   DERMOLÓMA                                                    žAMETOVKE
  499. Dermolóma cuneifólium (Fr.) Singer (1947)                        klinolistna žametovka                      UN, RS

84.   DIATRÝPE                                                     PREDIRNIKI
  500. Diatrýpe bulláta (Hoffm.) Fr. (1849)                             blazinasti predirnik                           NU
  501. Diatrýpe discifórmis (Hoffm.) Fr. (1849)                         bukov predirnik                                NU
  502. Diatrýpe stígma (Hoffm.) Fr. (1849)                              ploščati predirnik                             NU

85.   DIATRYPÉLLA                                                  PREDIRNICE
  503. Diatrypélla favácea (Fr.) Ces. & De Not. (1863)                  bradavičasta predirnica                   NU, 2738
  504. Diatrypélla quercína (Pers.) Cooke (1866)                        hrastova predirnica                            NU

86.   DICHÓMITUS                                                   BLAZINOVCI
  505. Dichómitus campéstris (Quél.) Domanski & Orlicz (1966)           hrastov blazinovec                             NU

87.   DIPLOMITÓPORUS                                               SIVOLUKNJIČARJI
  506. Diplomitóporus lindbládii (Berk.) Gilb. & Ryvarden (1985)        jelkin sivoluknjičar                       NU, 311

88.   DITÍOLA                                                      ZDRIZOVKE
  507. Ditíola pezízifórmis (Lév.) D.A. Reid (1974)                     skledičasta zdrizovka                          NU

89.   ECHINODÉRMA                                                  TRNOVKE
  508. Echinodérma ásperum (Pers.) Bon (1991)                           hrapava trnovka                                NU
  509. Echinodérma calcícola (Knudsen) Bon (1991)                       krivoluska trnovka                             NU
  510. Echinodérma echináceum (J.E. Lange) Bon (1991)                   bodičasta trnovka                              NU
  511. Echinodérma hýstrix (F.H. Møller & J.E. Lange) Bon (1991)        črnoluska trnovka                              NU
  512. Echinodérma perpléxum (Knudsen) Bon (1991)                       ostroluska trnovka                             NU

90.   ELAPHÓCORDYCEPS                                              GLAVATKE
  513. Elaphócordyceps capitáta (Holmsk.) G.H. Sung, J.M. Sung & Spatafora (2007) košutnična glavatka              NU, 462

91.   ELAPHÓMYCES                                                  KOŠUTNICE
  514. Elaphómyces granulátus Fr. (1829)                                zrnata košutnica                               NU

92.   ENTOLÓMA                                                     RDEČELISTKE
  515. Entolóma bloxámii (Berk. & Broome) Sacc. (1887)                  modrikasta rdečelistka                      U, RS
  516. Entolóma chalybáeum (Pers.) Noordel. (1982)                      tratna rdečelistka                             NU
  517. Entolóma chalybáeum var. lazulínum (Fr.) Noordel. (1984)         tratna rdečelistka, ožlebičeni različek        NU
  518. Entolóma conferéndum (Britzelm.) Noordel. (1980)                 križnotrosna rdečelistka                        S
  519. Entolóma éuchroum (Pers.) Donk (1949)                            barvita rdečelistka                            NU
  520. Entolóma excéntricum Bres. (1881)                                nesomerna rdečelistka                          UN
  521. Entolóma incánum (Fr.) Hesler (1967)                             zelenkasta rdečelistka                     NU, RS
  522. Entolóma lividoálbum (Kühner & Romagn.) Kubička (1975)           bleda rdečelistka                               U
  523. Entolóma mougeótii (Fr.) Hesler (1967)                           sivovijoličasta rdečelistka                    UN
  524. Entolóma niphoídes Romagn. ex Noordel. (1985)                    snežnata rdečelistka                            S
  525. Entolóma nítidum Quél. (1883)                                    modra rdečelistka                               U
  526. Entolóma plátyphylloídes (Romagn.) Largent (1974)                širokolistna rdečelistka                       UN
  527. Entolóma pórphyropháeum (Fr.) P. Karst. (1879)                   porfirasta rdečelistka                      U, RS
  528. Entolóma rhodopólium (Fr.) P. Kumm. (1871)                       nizka rdečelistka                               S



Mikološka zveza Slovenije                  OPERATIVNI SEZNAM GLIV SLOVENIJE 2013                                       20
   529. Entolóma sericátum (Britzelm.) Sacc. (1895)                    svilasta rdečelistka          UN
   530. Entolóma sericéllum (Fr.) P. Kumm. (1871)                      bela rdečelistka          S, 2751
   531. Entolóma seríceum Quél. (1872)                                 bleščeča rdečelistka            S
   532. Entolóma serrulátum (Pers.) Hesler (1967)                      črnomodra rdečelistka           S
   533. Entolóma sinuátum (Bull.) P. Kumm. (1871)                      velika rdečelistka              S
   534. Entolóma sordídulum (Kühner & Romagn.) P.D. Orton (1960)       nagubana rdečelistka          NU

 93.   EXÍDIA                                                      ZAMAZANKE
   535. Exídia glandulósa (Bull.) Fr. (1822)                           žlezasta zamazanka            NU
   536. Exídia recísa (Ditmar) Fr. (1822)                              pecljata zamazanka            NU
   537. Exídia saccharína Fr. (1822)                                   kandirana zamazanka           NU
   538. Exídia truncáta Fr. (1822)                                     zvegana zamazanka             NU

 94.   FISTULÍNA                                                   CEVAČE
   539. Fistulína hepática (Schaeff.) With. (1801)                     jetrasta cevača            U, RS

 95.   FLAMMULÍNA                                                  PANJEVKE
   540. Flammulína velútipes (Curtis) Singer (1951)                    zimska panjevka                U

 96.   FLAVOSCÝPHA                                                 UHLJI
   541. Flavoscýpha cantharélla (Fr.) Harmaja (1974)                   čarobni uhelj           NU, 1875

 97.   FÓMES                                                       KRESILKE
   542. Fómes fomentárius (L.) Fr. (1849)                              bukova kresilka               NU

 98.   FOMITÓPSIS                                                  KRESILAČE
   543. Fomitópsis pinícola (Sw.) P. Karst. (1881)                     smrekova kresilača            NU
   544. Fomitópsis rósea (Alb. & Schwein.) P. Karst. (1881)            rožnata kresilača         NU, RS

 99.   FULÍGO                                                      CVETI
   545. Fulígo cinérea (Schwein.) Morgan (1896)                        bledosivi cvet                NU
   546. Fulígo séptica (L.) F.H. Wigg. (1780)                          čreslov cvet                  NU

100.   GALERÍNA                                                    KUČMICE
   547. Galerína hypnórum (Schrank) Kühner (1935)                      mahovna kučmica               NU
   548. Galerína margináta (Batsch) Kühner (1935)                      obrobljena kučmica            SS
   549. Galerína sphagnórum (Pers.) Kühner (1935)                      šotna kučmica                 NU

101.   GANODÉRMA                                                   POLOŠČENKE
   550. Ganodérma adspérsum (Schulzer) Donk (1969)                     debela pološčenka              NU
   551. Ganodérma applanátum (Pers.) Pat. (1887)                       sploščena pološčenka     NU, 984
   552. Ganodérma carnósum Pat. (1889)                                 jelkina pološčenka             NU
   553. Ganodérma lúcidum (Curtis) P. Karst. (1881)                    svetlikava pološčenka   NU, Z, RS
   554. Ganodérma pféifferi Bres. (1889)                               bakrenasta pološčenka     NU, RS
   555. Ganodérma resináceum Boud. (1890)                              smolena pološčenka             NU

102.   GEÁSTRUM                                                    ZVEZDICE
   556. Geástrum fimbriátum Fr. (1829)                                 resasta zvezdica         NU, 998
   557. Geástrum fornicátum (Huds.) Hook. (1821)                       oblokasta zvezdica           NU
   558. Geástrum pectinátum Pers. (1801)                               grebenasta zvezdica          NU
   559. Geástrum quadrífidum DC. ex Pers. (1801)                       četverokraka zvezdica        NU
   560. Geástrum ruféscens Pers. (1801)                                rusa zvezdica                NU
   561. Geástrum tríplex Jungh. (1840)                                 ovratniška zvezdica          NU

103.   GLOEOPHÝLLUM                                                TRAMOVKE
   562. Gloeophýllum abietínum (Bull.) P. Karst. (1882)                hojeva tramovka               NU
   563. Gloeophýllum odorátum (Wulfen) Imazeki (1943)                  dišeča tramovka               NU
   564. Gloeophýllum sepiárium (Wulfen) P. Karst. (1882)               sivorjava tramovka            NU
   565. Gloeophýllum trábeum (Pers.) Murrill (1908)                    labirintasta tramovka         NU



Mikološka zveza Slovenije                      OPERATIVNI SEZNAM GLIV SLOVENIJE 2013                 21
104.   GLOEÓPORUS                                                      POKRIVAČE
   566. Gloeóporus taxícola (Pers.) Gilb. & Ryvarden (1985)                obrobljena pokrivača              NU, 1730

105.   GOMPHÍDIUS                                                      SLINARJI
   567. Gomphídius glutinósus (Schaeff.) Fr. (1838)                        veliki slinar                             U
   568. Gomphídius maculátus (Scop.) Fr. (1838)                            pegasti slinar          U, 1014, 1015, 1016
   569. Gomphídius róseus (Fr.) Fr. (1838)                                 rožnati slinar                            U

106.   GÓMPHUS                                                         žILOLISTKE
   570. Gómphus clavátus (Pers.) Gray (1821)                               čokata žilolistka                 U, Z, RS

107.   GRÍFOLA                                                         ZRAŠČENKE
   571. Grífola frondósa (Dicks.) Gray (1821)                              velika zraščenka                 MU, Z, RS

108.   GUEPÍNIA                                                        DRHTAVEžI
   572. Guepínia helvelloídes (DC.) Fr. (1828)                             uhati drhtavež                     U, 2508

109.   GUEPINIÓPSIS                                                    REBRICE
   573. Guepiniópsis buccína (Pers.) L.L. Kenn. (1959)                     trobljasta rebrica                     NU

110.   GYMNOPÍLUS                                                      PLAMENKE
   574. Gymnopílus junónius (Fr.) P.D. Orton (1960)                        junonina plamenka                      NU
   575. Gymnopílus odíni (Fr.) Kühner & Romagn. (1953)                     odinova plamenka                       NU
   576. Gymnopílus pénetrans (Fr.) Murrill (1912)                          predirna plamenka                      NU
   577. Gymnopílus sapíneus (Fr.) Maire (1933)                             jelkova plamenka                       NU

111.   GÝMNOPUS                                                        KORENOVCI
   578. Gýmnopus brassícolens (Romagn.) Antonín & Noordel. (1997)         zeljarski korenovec                NU, 1735
   579. Gýmnopus cónfluens (Pers.) Antonín, Halling & Noordel. (1997)     šopasti korenovec                    U, 393
   580. Gýmnopus dryóphilus (Bull.) Murrill (1916)                        vitki korenovec                      U, 397
   581. Gýmnopus erýthropus (Pers.) Antonín, Halling & Noordel. (1997)    sehlični korenovec                   U, 405
   582. Gýmnopus fóetidus (Sowerby) J.L. Mata & R.H. Petersen. (2004)     smrdeči korenovec                  NU, 1736
   583. Gýmnopus fuscopurpúreus (Pers.) Antonín, Halling & Noordel. (1997) bukov korenovec                    NU, 400
   584. Gýmnopus fúsipes (Bull.) Gray (1821)                              hrastov korenovec                   PU, 401
   585. Gýmnopus hariolórum (Bull.) Antonín, Halling & Noordel. (1997)    smradni korenovec                    S, 402
   586. Gýmnopus ocíor (Pers.) Antonín & Noordel. (1997)                  širokolistni korenovec              NU, 410
   587. Gýmnopus pérforans (Hoffm.) Antonín & Noordel. (2008)             iglični korenovec                  NU, 1737
   588. Gýmnopus peronátus (Bolton) Antonín, Halling & Noordel. (1997)    pekoči korenovec                     S, 411

112.   GÝRODON                                                         JELŠARJI
