56.;355836;97;Amanita franchetii;Amaníta franchétii;hrapava mušnica;U;
57.;212682;98;Amanita fulva;Amaníta fúlva;rjavi lupinar;PU;
58.;359399;99;Amanita umbrinolutea var. fusco-olivacea;Amaníta fúsco-olivácea;olivnorjavi lupinar;PU;
59.;202929;100;Amanita gemmata;Amaníta gemmáta;medlorumena mušnica;S;
60.;110467;2684;Amanita gracilior;Amaníta gracílior;koničastoluska mušnica;UN;
61.;155691;101;Amanita lepiotoides;Amaníta lepiotoídes;dežnikasta mušnica;UN;
62.;114687;102;Amanita lividopallescens;Amaníta lívidopalléscens;bledični lupinar;PU; 
63.;308569;103;Amanita magnivolvata;Amaníta magnivolváta;rjavolupinasti lupinar;PU;
64.;284061;104;Amanita mairei;Amaníta máirei;srebrnkasti lupinar;PU;
65.;417119;105;Amanita muscaria var. muscaria;Amaníta muscária;rdeča mušnica;S;mušnica, muhomorka, rdeča norica, škratovka, rdečka
66.;439258;106;Amanita muscaria var. aureola;Amaníta muscária var. auréola;rdeča mušnica, ogoljeni različek;S;
67.;156329;108;Amanita ovoidea;Amaníta ovoídea;jajčasta mušnica;U, RS;bela žrdana, beli karželj
68.;156565;109;Amanita pantherina;Amaníta panthérina;panterjeva mušnica;S;pegasta mušnica
69.;273497;110;Amanita pantherina var. abietum;Amaníta panthérina var. abíetum;panterjeva mušnica, jelkin različek;S;pegasta mušnica, jelkin različek
70.;178962;111, 112;Amanita phalloides;Amaníta phalloídes;zelena mušnica;SS;bleda mušnica, gomoljavka, gomoljevka, gomoljnica, krompirjevica, krompirjevka, nabuhnjenka, strupeni kukmak, strupenjača, strupenka, zelenkasta mušnica, zelenkasti strupeni kukmak
71.;171128;113;Amanita porphyria;Amaníta porphýria;porfirasta mušnica;S;
72.;454253;114;Amanita regalis;Amaníta regális;rjava mušnica;S;
73.;417123;115;Amanita rubescens var. rubescens;Amaníta rubéscens;rdečkasta mušnica;PU;bisernica, purešnica
74.;116590;116;Amanita rubescens;Amaníta rubéscens var. ánnulosulphúrea;rdečkasta mušnica, žoltovenčni različek;PU;
75.;153038;121;Amanita strobiliformis;Amaníta strobilifórmis;velikoluska mušnica;U, Z, RS;
76.;102833;122;Amanita subalpina;Amaníta subalpína;gorski lupinar;PU;
77.;308592;123;Amanita submembranacea;Amaníta submembranácea;sivolupinasti lupinar;PU;
78.;417094;124;Amanita vaginata;Amaníta vagináta;sivi lupinar;PU;
79.;281296;125;Amanita vaginata var. alba;Amaníta vagináta var. álba;sivi lupinar, beli različek;PU;
80.;163667;127;Amanita verna;Amaníta vérna;pomladanska mušnica;SS, Z, RS;
81.;163692;128;Amanita virosa;Amaníta virósa;koničasta mušnica;SS;
82.;374059;342;Ampulloclitocybe clavipes;Ampulloclitócybe clávipes;betičasta livkarica;PU;betičasta livka
83.;292521;131;Amylostereum areolatum;Amylostéreum areolátum;smrekov slojevec;NU;
84.;326334;135;Antrodia albida;Antródia álbida;belkasta trhlica;NU;
85.;326342;139;Neoantrodia serialis;Antródia seriális;vrstna trhlica;NU;
86.;103043;141;Metuloidea fragrans;Antrodíella frágrans;dišeča trhlička;NU, RS;
87.;109601;142;Antrodiella serpula;Antrodíella hoehnélii;bukova trhlička;NU;
88.;116141;144;Antrodiella semisupina;Antrodíella semisupína;slojevita trhlička;NU;
89.;110479;152;Armillaria borealis;Armillária boreális;severnjaška mraznica;PU;
90.;260244;153;Armillaria cepistipes;Armillária cepistípes;čebulasta mraznica;PU;
91.;131162;154;Armillaria lutea;Armillária gállica;rumenovenčna mraznica;PU; 
92.;190066;155;Armillaria mellea;Armillária méllea;sivorumena mraznica;PU;prava štorovka, babki, bobki, čokovka, čokovke, gmočica, grmačica, grmucelj, hrastovka, jarčki, jarsi, koreničnica, krajčki, krančke, kranjčki, kupci, kuzelce, kuzla, kuzlice, medenka, medenke, mraznica, sivorumena štorovka, štorovka, vaclavka
93.;134992;157;Armillaria solidipes;Armillária ostóyae;črnomekinasta mraznica;PU;
94.;416008;158;Desarmillaria tabescens;Armillária tabéscens;dobova mraznica;PU;brezobročna štorovka, dobova štorovka
95.;110490;161;Artomyces pyxidatus;Artómyces pyxidátus;cvetoča grmulja;NU, RS;
96.;126045;1846;Asterophora lycoperdoides;Asteróphora lycoperdoídes;navadna zajedalka;NU;
97.;151589;1847;Asterophora parasitica;Asteróphora parasítica;zastrta zajedalka;NU; 
98.;122650;167;Astraeus hygrometricus;Astráeus hygrométricus;vlagomerni zvezdež;NU;
99.;473356;169;Aurantiporus fissilis;Aurantipórus físsilis;mehki zlatoluknjičar;NU;
100.;326828;170;Aureoboletus gentilis;Aureobolétus gentílis;lepljivi zlatopor;U, Z, RS;
101.;102281;171;Auricularia auricula-judae;Auriculária aurícula-júdae;bezgova uhljevka;U;bezgova goba, judeževo uho, uho, uhljevka
102.;178140;172;Auricularia mesenterica;Auriculária mesentérica;brestova uhljevka;NU;
103.;101255;173;Auriscalpium vulgare;Auriscálpium vulgáre;navadna žlička;NU;
104.;271938;177;Baeospora myosura;Baeóspora myosúra;jesenska drobnotroska;NU;
105.;293621;180;Phellodon fuligineoalbus;Bánkera fuligíneoálba;borova bankera;NU;
106.;293624;181;Phellodon violascens;Bánkera violáscens;vijoličasta bankera;NU, RS;
107.;433657;1267;Biscogniauxia nummularia;Biscogniáuxia nummulária;novčičasta skorjoderka;NU;novčičasti skorjoder
108.;309569;185;Calycina citrina;Bisporélla citrína;rumena dvotroska;NU;
109.;100902;187;Bjerkandera adusta;Bjerkándera adústa;osmojena bjerkandera;NU;
110.;100991;188;Bjerkandera fumosa;Bjerkándera fumósa;čokata bjerkandera;NU;
111.;175350;193;Bolbitius titubans;Bolbítius títubans;rumeni smetiščar;NU;rumeni smetiščar, zgubani različek, zgubani smetiščar
112.;293748;197;Boletopsis grisea;Boletópsis grísea;sivi gobanovec;MU;
113.;414419;198;Boletopsis leucomelaena;Boletópsis leucomeláena;črni gobanovec;MU, RS;
114.;159051;200;Boletus aereus;Bolétus áereus;črni goban;U;ajdovec, ajdovček, ajdovka, bronasti goban, ajdnek, ajdovke, črni jurček, golomba, jurček, posvinka
115.;171640;202;Butyriboletus appendiculatus;Bolétus appendiculátus;rumeni goban;U;rumeni jurček, rumeni užitni goban
116.;327031;2652;Boletus badiorufus;Bolétus badiorúfus;vresin goban;U;vresina polstenka
117.;444094;2653;Imleria badia;Bolétus bádius;kostanjasti goban;U;kostanjasta polstenka, kostanjevka, hojčnica, hojkovica, hojkovka, kostanjev hlebec, kostanjeva globanja, kostanjevica
118.;162779;204;Caloboletus calopus;Bolétus cálopus;leponogi goban;NU;
119.;259951;205;Boletus reticulatus;Bolétus carpináceus;gabrov goban;U;
120.;104061;207;Xerocomus depilatus;Bolétus depilátus;jamičasti goban;U;
121.;228023;208;Rubroboletus dupainii;Bolétus dupáinii;dupainov goban;PU, Z, RS;
122.;356530;203;Boletus edulis;Bolétus edúlis;jesenski goban;U;jurček, ajdovček, baba, borovšnica, ded (mlad), glibanja, jesenski jurček, jur, kolomba, kravica, kravša, palobi, polobi, smrekovec, špicelj, užitni goban, žlahtni goban
123.;234336;210;Neoboletus erythropus;Bolétus erýthropus;žametasti goban;PU;žametnica, žametni goban, žametnica, žametnik
124.;264716;212;Butyriboletus fechtneri;Bolétus féchtneri;fechtnerjev goban;U;
